time,ask_id,bid_id,quantity,price
0.0,48,35,19,99.4804227033
1.0,22,11,46,99.0094353656
2.0,36,30,83,99.4526869837
3.0,8,7,44,99.1833524935
4.0,9,14,86,98.9849514897
5.0,19,15,66,99.0541805087
6.0,21,0,49,98.994645669
7.0,14,5,99,99.1510525267
8.0,40,48,85,98.8297359943
9.0,8,29,85,98.7654858885
10.0,43,29,39,98.7654858885
11.0,43,29,107,98.8796170373
12.0,5,47,62,99.0549588533
13.0,6,37,67,98.9933248188
14.0,6,34,89,99.0028864487
15.0,32,28,50,99.1637150417
16.0,23,7,36,99.0799141348
17.0,12,2,81,98.9035317359
18.0,9,0,51,98.9513328875
19.0,40,29,82,98.7654858885
20.0,7,46,78,98.8262815153
21.0,22,25,32,98.7462247505
22.0,17,18,30,98.9730750479
23.0,16,33,41,99.018007348
24.0,33,38,110,98.7424540253
25.0,20,3,98,99.0438613715
26.0,34,11,31,99.0843884862
27.0,1,20,65,98.9081742208
28.0,22,46,61,98.9710633315
29.0,2,32,105,99.0433807049
30.0,7,23,40,99.0944214869
31.0,10,24,41,99.0999023556
32.0,18,2,79,99.1436961848
33.0,28,17,60,99.0048514005
34.0,13,35,43,99.0615154374
35.0,15,4,103,99.1758609549
36.0,35,8,65,98.9153218194
37.0,44,39,47,98.9505946195
38.0,0,21,72,98.9803653505
39.0,42,32,55,99.0256374559
40.0,19,31,43,99.1791405499
41.0,31,18,59,98.8718898446
42.0,34,39,62,98.9338778965
43.0,4,31,90,98.8200766544
44.0,33,29,75,99.1866199729
45.0,34,15,44,99.1897462572
46.0,45,24,44,99.0777773613
47.0,1,40,59,99.0991391234
48.0,30,29,71,99.1992067646
49.0,47,41,53,99.0050168409
50.0,36,17,60,99.1191642259
51.0,14,15,29,98.9799771128
52.0,2,20,109,99.1247594256
53.0,14,20,73,99.1247594256
54.0,20,1,69,99.0965258226
55.0,7,17,48,99.1223883687
56.0,44,1,36,99.1665974482
57.0,32,34,76,99.1942011554
58.0,44,47,116,99.1109881879
59.0,14,21,76,99.0602625283
60.0,49,43,58,99.1014649017
61.0,32,29,56,99.0606261148
62.0,7,48,45,98.9404486176
63.0,16,49,60,98.9116697628
64.0,23,35,42,99.1816627184
65.0,15,23,140,99.0637457359
66.0,17,41,44,99.2230806547
67.0,5,8,59,99.0512133923
68.0,14,4,67,99.1224934458
69.0,2,35,149,99.0297190104
70.0,49,28,128,98.9890102143
71.0,33,25,70,98.9698633995
72.0,1,14,118,98.9936652086
73.0,21,46,59,99.1075968535
74.0,16,4,60,99.0961359381
75.0,22,26,24,99.1018196449
76.0,22,7,89,99.0490886896
77.0,36,6,34,99.1802294712
78.0,35,37,40,99.1398979921
79.0,31,28,52,99.1873270692
80.0,49,26,23,99.1171924447
81.0,4,26,33,99.0408568255
82.0,46,14,88,98.9619291235
83.0,48,37,50,98.9236350864
84.0,48,19,52,98.9195688206
85.0,45,38,102,98.9022297996
86.0,49,39,81,99.1272854248
87.0,18,7,78,99.164599283
88.0,6,28,72,99.1976843599
89.0,0,28,74,98.9836977868
90.0,13,44,50,99.1671113155
91.0,45,43,71,99.0223935363
92.0,11,12,81,99.231607477
93.0,3,8,73,98.9534909406
94.0,30,25,27,99.0127065134
95.0,46,40,41,99.1071597069
96.0,21,8,50,98.9001598198
97.0,7,31,56,99.1703877076
98.0,12,37,88,98.8967146299
99.0,23,1,66,99.1284810749
100.0,48,3,140,99.0243948232
101.0,31,20,90,99.2417445863
102.0,20,4,52,99.2478942864
103.0,30,43,63,99.1686855078
104.0,40,6,100,99.2594335315
105.0,11,39,95,99.0153608548
106.0,40,24,38,99.0702210856
107.0,35,38,44,99.1296682801
108.0,21,14,76,98.9805522212
109.0,36,19,45,99.2212926293
110.0,11,25,88,99.1494806779
111.0,37,19,53,99.271097055
112.0,39,20,35,99.2317469779
113.0,48,1,71,99.0513455922
114.0,29,15,59,99.2727451851
115.0,11,15,72,99.2738759678
116.0,4,4,88,98.9734955506
117.0,12,37,68,98.9481279613
118.0,20,19,77,98.9857094225
119.0,0,43,124,99.2846017151
120.0,25,31,38,99.0149957907
121.0,3,38,57,99.1644873199
122.0,43,32,87,99.2381596432
123.0,6,37,24,99.1263492754
124.0,10,9,102,99.2855368166
125.0,3,22,28,99.1097199658
126.0,20,30,70,99.2761201996
127.0,47,13,44,99.2878185227
128.0,27,31,107,99.084313578
129.0,24,47,113,99.2096036247
130.0,31,31,58,99.2366471899
131.0,3,31,53,99.084313578
132.0,30,4,71,99.2986274105
133.0,6,9,54,99.2986306227
134.0,2,2,65,99.1818219759
135.0,34,34,59,99.0998065541
136.0,39,48,71,99.1702334069
137.0,18,35,52,99.0698618016
138.0,47,43,84,99.3078924706
139.0,14,0,64,99.3111573905
140.0,14,13,63,99.2667404837
141.0,22,43,87,99.1397416804
142.0,37,16,61,99.0908526046
143.0,33,47,20,99.197227383
144.0,35,37,79,99.3162493013
145.0,48,5,40,99.0445445872
146.0,30,33,72,99.0938631893
147.0,35,11,69,99.3197300571
148.0,1,31,33,99.3208114899
149.0,38,23,97,99.1165213556
150.0,27,9,51,99.064988278
151.0,9,28,85,98.9902097831
152.0,36,15,69,98.9759963803
153.0,35,39,67,99.103781932
154.0,37,20,56,99.0197661818
155.0,4,46,117,99.0823554216
156.0,6,6,97,99.045621001
157.0,6,43,61,99.045621001
158.0,47,8,66,99.0291926308
159.0,2,43,24,98.9343730149
160.0,46,31,48,99.0702366069
161.0,3,38,67,99.1758477981
162.0,8,4,66,98.9596940299
163.0,26,2,49,99.2014823418
164.0,41,11,73,99.0574532763
165.0,16,16,117,99.3026883012
166.0,40,16,153,99.3258219915
167.0,42,25,105,99.2625278914
168.0,25,32,79,98.9675750234
169.0,36,12,148,98.9379183862
170.0,23,47,42,99.2675289324
171.0,17,12,51,99.1042174001
172.0,4,49,119,99.080575508
173.0,46,49,137,98.9551056404
174.0,44,24,94,99.1067203582
175.0,6,37,29,99.3369233815
176.0,40,39,75,99.3371443429
177.0,45,3,50,99.1054232239
178.0,36,19,49,99.0752153971
179.0,21,36,119,98.9351727341
180.0,18,5,40,99.2513087936
181.0,27,3,84,98.9716344414
182.0,15,1,136,99.3403938833
183.0,1,10,64,99.3410458244
184.0,7,25,52,99.0945143274
185.0,10,31,50,98.9403378575
186.0,22,11,47,99.099130508
187.0,25,21,122,99.0854666235
188.0,26,48,46,98.9164891833
189.0,42,22,63,98.9115397859
190.0,10,11,115,99.0174127648
191.0,2,45,78,99.0739403001
192.0,40,13,55,99.1116835352
193.0,38,31,98,98.9727887371
194.0,3,36,34,99.0316987186
195.0,12,6,71,98.9754566639
196.0,22,16,43,99.0919765334
197.0,20,18,28,98.905708121
198.0,11,10,58,98.9998362916
199.0,39,19,54,99.1816382143
200.0,2,39,84,99.1537031701
201.0,30,42,76,99.1996450835
202.0,17,45,70,99.2432074748
203.0,38,38,80,99.051161127
204.0,40,34,61,99.2790101063
205.0,39,20,62,99.252769542
206.0,40,24,30,99.1890849951
207.0,36,34,38,99.1437668834
208.0,26,28,67,99.0032931005
209.0,31,10,44,99.0830134529
210.0,29,4,80,99.1983325067
211.0,29,7,39,99.1983325067
212.0,29,0,44,99.1983325067
213.0,29,43,98,99.1983325067
214.0,3,35,86,99.1405329474
215.0,29,32,91,99.1983325067
216.0,5,23,24,99.0958794803
217.0,44,13,114,99.2204215577
